index_number,acoustic_data,time_to_failure
4400000,7,0.326399
4400001,7,0.326399
4400002,3,0.326399
4400003,5,0.326399
4400004,6,0.326399
4400005,3,0.326399
4400006,0,0.326399
4400007,4,0.326399
4400008,-2,0.326399
4400009,6,0.326399
4400010,3,0.326399
4400011,6,0.326399
4400012,4,0.326399
4400013,8,0.32639897
4400014,6,0.32639897
4400015,4,0.32639897
4400016,5,0.32639897
4400017,4,0.32639897
4400018,2,0.32639897
4400019,7,0.32639897
4400020,10,0.32639897
4400021,5,0.32639897
4400022,2,0.32639897
4400023,7,0.32639897
4400024,6,0.32639897
4400025,8,0.32639897
4400026,5,0.32639897
4400027,2,0.32639897
4400028,3,0.32639897
4400029,6,0.32639897
4400030,7,0.32639897
4400031,6,0.32639897
4400032,4,0.32639897
4400033,1,0.32639897
4400034,7,0.32639897
4400035,4,0.32639897
4400036,3,0.32639897
4400037,6,0.32639897
4400038,1,0.32639897
4400039,1,0.32639897
4400040,6,0.32639894
4400041,4,0.32639894
4400042,4,0.32639894
4400043,8,0.32639894
4400044,5,0.32639894
4400045,5,0.32639894
4400046,2,0.32639894
4400047,2,0.32639894
4400048,2,0.32639894
4400049,8,0.32639894
4400050,6,0.32639894
4400051,7,0.32639894
4400052,-1,0.32639894
4400053,3,0.32639894
4400054,5,0.32639894
4400055,6,0.32639894
4400056,3,0.32639894
4400057,2,0.32639894
4400058,2,0.32639894
4400059,3,0.32639894
4400060,6,0.32639894
4400061,6,0.32639894
4400062,10,0.32639894
4400063,5,0.32639894
4400064,6,0.32639894
4400065,6,0.32639894
4400066,1,0.32639894
4400067,0,0.3263989
4400068,10,0.3263989
4400069,9,0.3263989
4400070,5,0.3263989
4400071,4,0.3263989
4400072,3,0.3263989
4400073,6,0.3263989
4400074,4,0.3263989
4400075,6,0.3263989
4400076,4,0.3263989
4400077,4,0.3263989
4400078,7,0.3263989
4400079,3,0.3263989
4400080,6,0.3263989
4400081,10,0.3263989
4400082,4,0.3263989
4400083,1,0.3263989
4400084,4,0.3263989
4400085,6,0.3263989
4400086,7,0.3263989
4400087,4,0.3263989
4400088,3,0.3263989
4400089,4,0.3263989
4400090,5,0.3263989
4400091,7,0.3263989
4400092,8,0.3263989
4400093,7,0.3263989
4400094,6,0.3263989
4400095,2,0.32639888
4400096,4,0.32639888
4400097,9,0.32639888
4400098,3,0.32639888
4400099,0,0.32639888
4400100,8,0.32639888
4400101,8,0.32639888
4400102,8,0.32639888
4400103,6,0.32639888
4400104,7,0.32639888
4400105,4,0.32639888
4400106,4,0.32639888
4400107,2,0.32639888
4400108,5,0.32639888
4400109,9,0.32639888
4400110,2,0.32639888
4400111,3,0.32639888
4400112,8,0.32639888
4400113,7,0.32639888
4400114,4,0.32639888
4400115,4,0.32639888
4400116,5,0.32639888
4400117,4,0.32639888
4400118,3,0.32639888
4400119,1,0.32639888
4400120,2,0.32639888
4400121,1,0.32639888
4400122,5,0.32639885
4400123,5,0.32639885
4400124,5,0.32639885
4400125,8,0.32639885
4400126,5,0.32639885
4400127,2,0.32639885
4400128,3,0.32639885
4400129,4,0.32639885
4400130,4,0.32639885
4400131,3,0.32639885
4400132,5,0.32639885
4400133,6,0.32639885
4400134,2,0.32639885
4400135,5,0.32639885
4400136,6,0.32639885
4400137,4,0.32639885
4400138,5,0.32639885
4400139,4,0.32639885
4400140,11,0.32639885
4400141,9,0.32639885
4400142,3,0.32639885
4400143,2,0.32639885
4400144,9,0.32639885
4400145,9,0.32639885
4400146,2,0.32639885
4400147,2,0.32639885
4400148,5,0.32639885
4400149,5,0.32639882
4400150,2,0.32639882
4400151,-1,0.32639882
4400152,5,0.32639882
4400153,3,0.32639882
4400154,2,0.32639882
4400155,2,0.32639882
4400156,4,0.32639882
4400157,6,0.32639882
4400158,7,0.32639882
