index_number,acoustic_data,time_to_failure
4435704,6,0.31789577
4435705,11,0.31789577
4435706,5,0.31789577
4435707,4,0.31789577
4435708,3,0.31789577
4435709,2,0.31789577
4435710,6,0.31789577
4435711,5,0.31789577
4435712,2,0.31789577
4435713,-1,0.31789577
4435714,-1,0.31789577
4435715,-1,0.31789577
4435716,-1,0.31789574
4435717,2,0.31789574
4435718,5,0.31789574
4435719,8,0.31789574
4435720,12,0.31789574
4435721,10,0.31789574
4435722,9,0.31789574
4435723,10,0.31789574
4435724,13,0.31789574
4435725,10,0.31789574
4435726,7,0.31789574
4435727,2,0.31789574
4435728,6,0.31789574
4435729,8,0.31789574
4435730,6,0.31789574
4435731,3,0.31789574
4435732,0,0.31789574
4435733,3,0.31789574
4435734,0,0.31789574
4435735,-2,0.31789574
4435736,-2,0.31789574
4435737,1,0.31789574
4435738,4,0.31789574
4435739,2,0.31789574
4435740,4,0.31789574
4435741,5,0.31789574
4435742,5,0.31789574
4435743,4,0.3178957
4435744,9,0.3178957
4435745,4,0.3178957
4435746,4,0.3178957
4435747,5,0.3178957
4435748,2,0.3178957
4435749,2,0.3178957
4435750,2,0.3178957
4435751,3,0.3178957
4435752,6,0.3178957
4435753,6,0.3178957
4435754,8,0.3178957
4435755,6,0.3178957
4435756,6,0.3178957
4435757,7,0.3178957
4435758,6,0.3178957
4435759,8,0.3178957
4435760,8,0.3178957
4435761,4,0.3178957
4435762,7,0.3178957
4435763,2,0.3178957
4435764,4,0.3178957
4435765,2,0.3178957
4435766,-3,0.3178957
4435767,1,0.3178957
4435768,0,0.3178957
4435769,6,0.3178957
4435770,12,0.31789568
4435771,9,0.31789568
4435772,14,0.31789568
4435773,13,0.31789568
4435774,12,0.31789568
4435775,9,0.31789568
4435776,5,0.31789568
4435777,3,0.31789568
4435778,5,0.31789568
4435779,3,0.31789568
4435780,-2,0.31789568
4435781,1,0.31789568
4435782,0,0.31789568
4435783,0,0.31789568
4435784,0,0.31789568
4435785,4,0.31789568
4435786,6,0.31789568
4435787,8,0.31789568
4435788,8,0.31789568
4435789,10,0.31789568
4435790,10,0.31789568
4435791,5,0.31789568
4435792,4,0.31789568
4435793,2,0.31789568
4435794,2,0.31789568
4435795,1,0.31789568
4435796,0,0.31789568
4435797,1,0.31789565
4435798,1,0.31789565
4435799,6,0.31789565
4435800,6,0.31789565
4435801,7,0.31789565
4435802,7,0.31789565
4435803,4,0.31789565
4435804,5,0.31789565
4435805,9,0.31789565
4435806,10,0.31789565
4435807,10,0.31789565
4435808,2,0.31789565
4435809,5,0.31789565
4435810,9,0.31789565
4435811,4,0.31789565
4435812,2,0.31789565
4435813,6,0.31789565
4435814,5,0.31789565
4435815,6,0.31789565
4435816,8,0.31789565
4435817,11,0.31789565
4435818,9,0.31789565
4435819,6,0.31789565
4435820,8,0.31789565
4435821,5,0.31789565
4435822,3,0.31789565
4435823,3,0.31789565
4435824,2,0.31789565
4435825,-1,0.31789562
4435826,0,0.31789562
4435827,1,0.31789562
4435828,-1,0.31789562
4435829,-1,0.31789562
4435830,3,0.31789562
4435831,6,0.31789562
4435832,9,0.31789562
4435833,6,0.31789562
4435834,14,0.31789562
4435835,9,0.31789562
4435836,7,0.31789562
4435837,7,0.31789562
4435838,6,0.31789562
4435839,3,0.31789562
4435840,-4,0.31789562
4435841,1,0.31789562
4435842,-2,0.31789562
4435843,3,0.31789562
4435844,2,0.31789562
4435845,2,0.31789562
4435846,5,0.31789562
4435847,5,0.31789562
4435848,10,0.31789562
4435849,8,0.31789562
4435850,6,0.31789562
4435851,2,0.31789562
4435852,6,0.3178956
4435853,5,0.3178956
4435854,1,0.3178956
4435855,0,0.3178956
4435856,0,0.3178956
4435857,-1,0.3178956
4435858,2,0.3178956
4435859,5,0.3178956
4435860,4,0.3178956
4435861,1,0.3178956
4435862,9,0.3178956
4435863,10,0.3178956
4435864,9,0.3178956
4435865,13,0.3178956
4435866,8,0.3178956
4435867,10,0.3178956
4435868,6,0.3178956
4435869,7,0.3178956
4435870,7,0.3178956
4435871,5,0.3178956
4435872,4,0.3178956
4435873,2,0.3178956
4435874,1,0.3178956
4435875,3,0.3178956
4435876,1,0.3178956
4435877,2,0.3178956
4435878,5,0.3178956
4435879,7,0.31789556
4435880,4,0.31789556
4435881,5,0.31789556
4435882,5,0.31789556
4435883,5,0.31789556
4435884,3,0.31789556
4435885,4,0.31789556
4435886,3,0.31789556
4435887,4,0.31789556
4435888,1,0.31789556
4435889,0,0.31789556
4435890,4,0.31789556
4435891,0,0.31789556
4435892,3,0.31789556
4435893,5,0.31789556
4435894,6,0.31789556
4435895,7,0.31789556
4435896,6,0.31789556
4435897,8,0.31789556
4435898,1,0.31789556
4435899,1,0.31789556
